Label,Intent,NER,Questions,Answers
1,자기소개,,,안녕하세요 :) 저희 잡아봇을 이용해주셔서 감사합니다. 문의사항을 남겨주시면 성실히 답변해 드리겠습니다.
1,자기소개,,,안녕하세요 :) 저희 잡아봇을 이용해주셔서 감사합니다. 더 자세히 상담 내용을 작성해 주세요.
2,인사,,,안녕하세요 :) 저희 잡아봇을 이용해주셔서 감사합니다. 문의사항을 남겨주시면 성실히 답변해 드리겠습니다.
2,인사,,,안녕하세요 :) 저희 잡아봇을 이용해주셔서 감사합니다. 더 자세히 상담 내용을 작성해 주세요.
3,막연한 질문,,,꿈을 찾고 이루기 위해 앞으로 해야 하는 일들이 궁금해서 방문해 주셨네요. 우선 자기에 대한 이해 활동이 필요해요. 자기이해를 위해서는 진로심리검사가 도움이 될 수 있어요.
3,막연한 질문,,,진로에 대해 고민하고 있는 것도 어쩌면 한 단계 더 발전시키기 위한 필요한 아픔이라는 생각이 드네요. 우리가 꿈을 정하는데 가장 중요한 것은 자신에 대해 잘 이해하는 것입니다.
3,막연한 질문,,,미래의 직업을 선택하는 것은 너무나 중요하므로 성급하게 결정할 수 없지요. 빨리 정하지 않으셔도 되니 되도록 신중하게 결정해야 합니다. 흥미 있고 자신 있게 잘하는 직업을 선택해야 오래오래 행복하게 그 일을 할 수 있지 않을까요? 정말 원하는 것을 하고 싶다고 했는데 그렇다면 원하는 것을 이루기 위해 차근차근 계획을 세워서 흔들리지 않는 주관을 가지고 움직이셔야 합니다.
3,막연한 질문,,,다양한 가능성을 열어놓고 어떤 분야에 흥미가 있는지 다시 한 번 진지하게 생각해 보시기 바랍니다. 그리고 모든 것에 공부가 기본이 되므로 학교생활에 충실하고 주어진 교과목에 성실하게 집중해서 학습하는 것이 미래에 어떤 선택을 할 때 그만큼 선택의 폭이 넓어지고 자유로울 수 있지요.
3,막연한 질문,,,"진로를 정하고 싶지만, 어떤 것을 좋아하는지, 하고 싶은 것은 어떤 것인지 스스로 알지 못하다 보니, 막막하고 답답한 마음이 들었을 것 같아요. 이렇게 답답하고 막막한 마음에 뭔가 선뜻 정하기 힘들다면, 일단 스스로 자신이 어떤 특성이 있고, 어떤 것을 재미있게 하는지 자신의 마음을 먼저 들여다보면 어떨까 싶어요."
3,막연한 질문,,,"앞으로 어떤 모습으로 살아가고 싶은지 생각해 보고, 그 모습으로 살아가기 위해 어떤 직업을 선택하면 도움이 되고, 그 직업을 통해 어떻게 자신의 삶을 만들어갈지 삶의 방식을 정해 보면 어떨까 싶어요. 잘하는 일을 진로로 정하는 것도 좋지만, 자신이 좋아하고 재미있게 할 수 있는 분야를 찾는 것이 중요한 이유는, 자신의 미래의 삶의 방식과 관련이 있기 때문에 재미있게 할 수 있고, 좋아하는 일이 아니라면 오랫동안 그 일을 통해 행복함을 누리지 못할 수 있어서, 진로를 정할 때 이런 부분을 고려하는 것이 좋다고 이야기한답니다."
3,막연한 질문,,,나에게 맞는 진로를 찾기는 쉽지 않지요. 나는 누구인가 분명 알 것 같으면서도 답하기가 어렵듯 진로를 찾아가는 재료가 내 안에 있는데도 쉽지가 않아요. 즉 경험치가 중요하다는 얘기지요. 자신이 하고 싶은 것이나 좋아하는 것을 자꾸 탐색하고 경험하다 보면 자기가 할 일인지 아닌지를 알 수 있어요. 저희 홈페이지에서 직업 관련 체험기관들을 소개 하고 있으니 참고 부탁드립니다.
4,직업 관련 질문,J_B_JOB,,{J_B_JOB} 종류에는 big_mini이 있습니다. 어느 직업에 대해 알고싶으신가요?
4,직업 관련 질문,J_M_JOB,,{J_M_JOB} 이(가) 되기 위해서는 major(학과) 를 졸업해야 합니다.
4,직업 관련 질문,,,입력하신 문장에서 직업을 유추하기 어렵습니다. 다른 단어를 입력해 주세요 :) 
5,학과 관련 질문,J_MAJOR,,{J_MAJOR} (학과)와 관련된 직업을 추천드리겠습니다. maj_mini
5,학과 관련 질문,,,학과 개설대학을 알아보는 방법은 대입정보포털 어디가 (www.adiga.kr) 사이트에서 학과 검색을 통해서 확인할 수 있습니다.  1. 다음이나 네이버에서 대입정보포털(어디가) 검색 후 입장 (회원가입)2. 상단 메뉴 중 대학/학과/전형 클릭3. 학과정보 메뉴에서 일반대학 또는 전문대학 선택 4. 학과정보에서 학과명에 예) 세무 입력 후 검색  5. 원하는 지역(00)을 선택하면 해당 지역의 대학 정보 확인 가능6. 검색결과에서 입시결과를 클릭하면 해당 대학의 전년도 입시결과 확인 가능.
6,재능,J_TELENT,,{J_TELENT} 성향과 관련된 직업을 추천드리겠습니다. tel_mini
6,재능,,,해당 능력과 관련된 직업을 찾기 어렵습니다. 다른 단어를 입력해 주세요 :)
7,끝맺음,,감사합니다,저희 잡아봇을 이용해 주셔서 감사합니다 :) 상담 내용이 미래의 진로 탐색에 큰 도움이 되었길 바라겠습니다
7,끝맺음,,,저희 잡아봇을 이용해 주셔서 감사합니다 :) 상담 내용이 미래의 진로 탐색에 큰 도움이 되었길 바라겠습니다
