,Unnamed: 0,부족인원,인력부족률,채용계획인원,minmax_부족인원,minmax_인력부족률,minmax_채용계획인원
0,경영·행정·사무직,49,1.8,51,0.9999999999999999,0.2571428571428571,1.0
1,운전·운송직,46,7.0,47,0.9387755102040816,1.0,0.9215686274509803
2,영업·판매직,28,2.8,29,0.5714285714285714,0.39999999999999997,0.5686274509803921
3,음식 서비스직,23,5.0,24,0.4693877551020408,0.7142857142857142,0.47058823529411764
4,제조 단순직,21,5.3,22,0.42857142857142855,0.7571428571428571,0.43137254901960786
5,보건·의료직,20,2.7,23,0.4081632653061224,0.38571428571428573,0.45098039215686275
6,기계 설치·정비·생산직,18,2.8,19,0.36734693877551017,0.39999999999999997,0.37254901960784315
7,정보통신 연구개발직 및 공학기술직,17,4.4,18,0.3469387755102041,0.6285714285714286,0.3529411764705882
8,제조 연구개발직 및 공학기술직,17,2.5,17,0.3469387755102041,0.3571428571428571,0.3333333333333333
9,금속·재료 설치·정비·생산직,11,4.3,11,0.22448979591836732,0.6142857142857142,0.21568627450980393
10,전기·전자 설치·정비·생산직,10,2.0,11,0.2040816326530612,0.2857142857142857,0.21568627450980393
11,사회복지·종교직,9,2.3,15,0.18367346938775508,0.3285714285714285,0.29411764705882354
12,예술·디자인·방송직,9,4.8,9,0.18367346938775508,0.6857142857142856,0.1764705882352941
13,건설·채굴 연구개발직 및 공학기술직,8,2.5,9,0.16326530612244897,0.3571428571428571,0.1764705882352941
14,화학·환경 설치·정비·생산직,7,3.5,7,0.14285714285714285,0.5,0.13725490196078433
15,교육직,6,1.2,10,0.12244897959183673,0.1714285714285714,0.19607843137254902
16,식품 가공·생산직,6,4.9,6,0.12244897959183673,0.7000000000000001,0.11764705882352941
17,돌봄 서비스직,5,2.0,6,0.1020408163265306,0.2857142857142857,0.11764705882352941
18,청소 및 기타 개인서비스직,5,1.1,10,0.1020408163265306,0.15714285714285714,0.19607843137254902
19,건설·채굴직,5,1.2,6,0.1020408163265306,0.1714285714285714,0.11764705882352941
20,인쇄·목재·공예 및 기타 설치·정비·생산직,5,4.5,5,0.1020408163265306,0.6428571428571428,0.09803921568627451
21,금융·보험직,3,1.0,4,0.061224489795918366,0.14285714285714285,0.0784313725490196
22,미용·예식 서비스직,2,5.4,2,0.04081632653061224,0.7714285714285715,0.0392156862745098
23,경호·경비직,2,0.8,6,0.04081632653061224,0.11428571428571428,0.11764705882352941
24,섬유·의복 생산직,2,3.2,3,0.04081632653061224,0.45714285714285713,0.058823529411764705
25,자연·생명과학 연구직,1,3.0,2,0.02040816326530612,0.42857142857142855,0.0392156862745098
26,법률직,1,1.8,1,0.02040816326530612,0.2571428571428571,0.0196078431372549
27,스포츠·레크리에이션직,1,1.8,1,0.02040816326530612,0.2571428571428571,0.0196078431372549
28,여행·숙박·오락 서비스직,1,1.6,1,0.02040816326530612,0.22857142857142856,0.0196078431372549
29,정보통신 설치·정비직,1,2.1,1,0.02040816326530612,0.3,0.0196078431372549
30,농림어업직,1,3.9,1,0.02040816326530612,0.557142857142857,0.0196078431372549
31,관리직,0,0.3,0,0.0,0.04285714285714285,0.0
32,인문·사회과학 연구직,0,2.4,0,0.0,0.3428571428571428,0.0
33,경찰‧소방‧교도직,0,0.0,0,0.0,0.0,0.0
